'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 39', '2019, 7, 24, 0, 45, 40'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 40', '2019, 7, 24, 0, 45, 41'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 41', '2019, 7, 24, 0, 45, 42'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 42', '2019, 7, 24, 0, 45, 42'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 42', '2019, 7, 24, 0, 45, 43'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 43', '2019, 7, 24, 0, 45, 43'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 43', '2019, 7, 24, 0, 45, 45'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 45', '2019, 7, 24, 0, 45, 46'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 46', '2019, 7, 24, 0, 45, 47'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 47', '2019, 7, 24, 0, 45, 48'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 49', '2019, 7, 24, 0, 45, 50'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 50', '2019, 7, 24, 0, 45, 51'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 51', '2019, 7, 24, 0, 45, 52'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 52', '2019, 7, 24, 0, 45, 52'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 52', '2019, 7, 24, 0, 45, 52'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 53', '2019, 7, 24, 0, 45, 53'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 53', '2019, 7, 24, 0, 45, 54'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 54', '2019, 7, 24, 0, 45, 54'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 54', '2019, 7, 24, 0, 45, 57'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 57', '2019, 7, 24, 0, 45, 57'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 57', '2019, 7, 24, 0, 45, 58'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 58', '2019, 7, 24, 0, 45, 58'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 58', '2019, 7, 24, 0, 45, 59'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 45, 59', '2019, 7, 24, 0, 45, 59'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 45, 59', '2019, 7, 24, 0, 46, 1'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 1', '2019, 7, 24, 0, 46, 2'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 2', '2019, 7, 24, 0, 46, 3'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 3', '2019, 7, 24, 0, 46, 4'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 4', '2019, 7, 24, 0, 46, 5'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 5', '2019, 7, 24, 0, 46, 5'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 5', '2019, 7, 24, 0, 46, 6'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 6', '2019, 7, 24, 0, 46, 6'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 7', '2019, 7, 24, 0, 46, 8'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 8', '2019, 7, 24, 0, 46, 9'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 9', '2019, 7, 24, 0, 46, 10'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 10', '2019, 7, 24, 0, 46, 14'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 14', '2019, 7, 24, 0, 46, 14'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 15', '2019, 7, 24, 0, 46, 15'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 15', '2019, 7, 24, 0, 46, 15'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 15', '2019, 7, 24, 0, 46, 16'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 16', '2019, 7, 24, 0, 46, 16'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 16', '2019, 7, 24, 0, 46, 17'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 17', '2019, 7, 24, 0, 46, 17'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 17', '2019, 7, 24, 0, 46, 18'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 18', '2019, 7, 24, 0, 46, 20'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 20', '2019, 7, 24, 0, 46, 20'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 20', '2019, 7, 24, 0, 46, 22'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 22', '2019, 7, 24, 0, 46, 23'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 23', '2019, 7, 24, 0, 46, 24'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 24', '2019, 7, 24, 0, 46, 25'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 25', '2019, 7, 24, 0, 46, 26'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 26', '2019, 7, 24, 0, 46, 27'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 28', '2019, 7, 24, 0, 46, 29'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 29', '2019, 7, 24, 0, 46, 30'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 30', '2019, 7, 24, 0, 46, 31'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 31', '2019, 7, 24, 0, 46, 32'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 33', '2019, 7, 24, 0, 46, 33'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 33', '2019, 7, 24, 0, 46, 35'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 35', '2019, 7, 24, 0, 46, 36'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 36', '2019, 7, 24, 0, 46, 36'
