"id","order_type","seq_no","status_type_val","pr_order_no","sa_order_line_no","company_name","to_item_no","due_dt","toshop_dt","process_by_dt","order_qty,order_uom","form_dim1","form_dim2","form_dim3","form_dim4","form_dim5","form_dim6","dim1","dim2","dim3","dim4","dim5","dim6","dim_uom","pr_center_no","short_desc","instruction"
"4-MO0000145WK-200-601","MFG","200","Scheduled","MO0000145WK","WO0148203-1/10","K&B Industries","6061 24.75" T6 FORGING 0035-00652-T6","4/6/23","3/7/23","4/6/23","5 ea","24.75","","","","","","","","","","","","in","BUR-OKK HM1000S","OKK HM1000S","PREP PARTS BY DRILLING AND TAPPING BLOCKS ACCORDING TO SET UP DOC
MACHINE PARTS TO PRINT 0035-00652 SYM 3 REV 04
INSPECT FINISHED PARTS ON ATTACHED SHEET
DEBURR AND CLEAN PARTS ONCE MACHINED
TAKE FIRST PART TO QUALITY FOR BUYOFF


DOT PEEN THE FOLLOWING ON EACH PART
MO#
MPO#
HEAT LOT#"
"4-MO0000146WK-100-604","MFG","100","Scheduled","MO0000146WK","WO0151155-1/1","South Bay Solutions, Inc.","6061 6.7 T651 PLATE SBS-ENG-100204","3/17/23","3/7/23","3/17/23","14 ea","6.7","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 6.7" PLATE
CUT SIZE 22.75 X 22.75"
CUT TOLERANCE +.125/-0
MARK HEAT LOT ON ALL PIECES"
"4-MO0000146WK-200-606","MFG","200","Scheduled","MO0000146WK","WO0151155-1/1","South Bay Solutions, Inc.","6061 6.7 T651 PLATE SBS-ENG-100204","3/17/23","3/7/23","3/17/23","14 ea","6.7","","","","","","","","","","","","in","BUR-Visionwide 4120","Visionwide 4120","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT SBS-ENG-100204
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000146WK-225-637","MFG","225","Scheduled","MO0000146WK","WO0151155-1/1","South Bay Solutions, Inc.","6061 6.7 T651 PLATE SBS-ENG-100204","3/17/23","3/7/23","3/17/23","14 ea","6.7","","","","","","","","","","","","in","BUR-Visionwide 3116","Visionwide 3116",""
"4-MO0000147WK-100-609","MFG","100","Scheduled","MO0000147WK","WO0151156-1/1","South Bay Solutions, Inc.","6061 6.7 T651 PLATE SBS-ENG-100204","3/21/23","3/7/23","3/21/23","14 ea","6.7","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 6.7" PLATE
CUT SIZE 22.75 X 22.75"
CUT TOLERANCE +.125/-0
